Team,Season,Goals,xG,Total shots,Shots on target,SOT %,Total passes,Accurate passes,Pass accuracy %,Possession,Total losses,Low losses,Med Losses,High losses,Total recoveries,Low recoveries,Med recoveries,High recoveries,Total duels,Duels won,Duels success %,Total shots outside box,SOT outside box,SOT outside box %,Total positional attacks,Positional attacks leading to shot,Positional attacks leading to shot %,Total counterattacks,Counterattacks leading to shot,Counterattacks leading to shot %,Total set pieces,Total set pieces with shots,Set piece shot %,Total corners,Total corners with shots,Corner shot %,Total free kicks,Total free kicks with shots,Free kick shot %,Total penalties,Penalties scored,Penalty conversion %,Total crosses,Successful crosses,Cross accuracy %,Deep completed crosses,Deep completed passes,Total box entries,Box entry via run,Box entry via cross,Penalty area touches,Total offensive duels,Offensive duels won,Offensive duels success %,Offsides,Conceded goals,Total shots against,SOT against,SOT against %,Total Def duels,Successful def duels,Def duel success %,Total aerial duels,Successful aerial duels,Aerial duel success %,Total sliding tackles,Successful sliding tackles,Sliding tackle success %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Total forward passes,Successful forward passes,Forward pass success %,Total back passes,Successful back passes,Back pass success %,Total lateral passes,Successful lateral passes,Lateral pass success %,Total long passes,Successful long passes,Long pass success %,Total final third passes,Successful final third passes,Final third pass success %,Total progressive passes,Successful progressive passes,Progressive pass success %,Total smart passes,Successful smart passes,Smart pass success %,Total throws in,Accurate throw ins,Throw in success %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Oppo Goals,Oppo xG,Oppo Total shots,Oppo Shots on target,Oppo SOT %,Oppo Total passes,Oppo Accurate passes,Oppo Pass accuracy %,Oppo Possession,Oppo Total losses,Oppo Low losses,Oppo Med Losses,Oppo High losses,Oppo Total recoveries,Oppo Low recoveries,Oppo Med recoveries,Oppo High recoveries,Oppo Total duels,Oppo Duels won,Oppo Duels success %,Oppo Total shots outside box,Oppo SOT outside box,Oppo SOT outside box %,Oppo Total positional attacks,Oppo Positional attacks leading to shot,Oppo Positional attacks leading to shot %,Oppo Total counterattacks,Oppo Counterattacks leading to shot,Oppo Counterattacks leading to shot %,Oppo Total set pieces,Oppo Total set pieces with shots,Oppo Set piece shot %,Oppo Total corners,Oppo Total corners with shots,Oppo Corner shot %,Oppo Total free kicks,Oppo Total free kicks with shots,Oppo Free kick shot %,Oppo Total penalties,Oppo Penalties scored,Oppo Penalty conversion %,Oppo Total crosses,Oppo Successful crosses,Oppo Cross accuracy %,Oppo Deep completed crosses,Oppo Deep completed passes,Oppo Total box entries,Oppo Box entry via run,Oppo Box entry via cross,Oppo Penalty area touches,Oppo Total offensive duels,Oppo Offensive duels won,Oppo Offensive duels success %,Oppo Offsides,Oppo Conceded goals,Oppo Total shots against,Oppo SOT against,Oppo SOT against %,Oppo Total Def duels,Oppo Successful def duels,Oppo Def duel success %,Oppo Total aerial duels,Oppo Successful aerial duels,Oppo Aerial duel success %,Oppo Total sliding tackles,Oppo Successful sliding tackles,Oppo Sliding tackle success %,Oppo Interceptions,Oppo Clearances,Oppo Fouls,Oppo Yellow cards,Oppo Red cards,Oppo Total forward passes,Oppo Successful forward passes,Oppo Forward pass success %,Oppo Total back passes,Oppo Successful back passes,Oppo Back pass success %,Oppo Total lateral passes,Oppo Successful lateral passes,Oppo Lateral pass success %,Oppo Total long passes,Oppo Successful long passes,Oppo Long pass success %,Oppo Total final third passes,Oppo Successful final third passes,Oppo Final third pass success %,Oppo Total progressive passes,Oppo Successful progressive passes,Oppo Progressive pass success %,Oppo Total smart passes,Oppo Successful smart passes,Oppo Smart pass success %,Oppo Total throws in,Oppo Accurate throw ins,Oppo Throw in success %,Oppo Goal kicks,Oppo Match tempo,Oppo Average passes per possession,Oppo Long pass %,Oppo Average shot distance,Oppo Average pass length,Oppo PPDA,Through balls
Aveley,24/25,1.08,1.11,9.96,3.46,34.75,242.65,164.58,67.82,42.2,129.62,27.96,43.62,58.04,84.38,40.88,30.38,13.12,236.85,111.23,46.96,4.35,1.15,26.55,26.65,6.38,23.95,0.42,0.27,63.64,22.5,2.62,11.62,4.46,1.12,25,3.46,0.81,23.33,0.12,0.08,66.67,10.12,3.31,32.7,3.27,3.92,16.77,2.69,5.23,13.12,66.38,22.15,33.37,1.54,1.81,13.15,5.23,39.77,67.69,45.81,67.67,64.77,28.5,44,2,0.96,48.08,41.31,19.65,10.58,1.62,0.15,114.19,62.62,54.83,34.92,31.69,90.75,61.08,47.92,78.46,52.27,21.65,41.43,50.69,25.96,51.21,61.19,37.69,61.6,0.77,0.38,50,28.54,21.42,75.07,10.88,13.49,2.24,22.12,18.61,22.96,11.98,1.81,1.75,13.15,4.96,37.72,370.5,282.31,76.2,57.8,125,22.04,41.12,61.85,89.54,40.15,36.88,12.5,236.85,110.96,46.85,4.5,1.27,28.21,33.62,8.31,24.71,0.42,0.19,45.45,24.5,4.19,17.11,6,2.23,37.18,2.77,0.69,25,0.27,0.12,42.86,19.69,6.15,31.25,6.5,6.88,28.04,3.73,12.65,19.35,67.69,21.88,32.33,1.58,1.08,9.96,3.69,37.07,66.38,44.23,66.63,64.77,30.23,46.67,1.73,0.92,53.33,37.5,16.27,9.08,1.38,0,142.46,91.5,64.23,51.85,48.23,93.03,130.77,109.5,83.74,61.65,31.27,50.72,62.19,36.31,58.38,79.5,55.88,70.3,0.88,0.35,39.13,27.12,23.65,87.23,7.81,14.61,3.29,17.95,16.68,22.35,8.4,3.03
Bath City,24/25,1.04,1.07,8.64,3.16,36.98,306.52,209.28,66.79,48.58,148.2,26.64,53.6,67.96,104.36,50.08,42.2,12.08,261.36,124.88,48.02,3.6,1.32,41.25,26.96,5.28,19.83,0.88,0.56,34,21.72,2.36,10.88,3.92,1.2,25.55,2.68,0.64,24.13,0.08,0.04,4,13.36,3.76,28.06,3.68,3.8,20,2.52,8.72,11.48,67.04,20.4,30.36,1.88,0.84,10.24,3.76,37.14,73.04,50.76,69.54,75.88,36,47,3.08,1.6,47.4,45.32,24.68,9.28,1.68,0.08,143.84,79.2,54.63,42.32,38.44,90.29,82.32,65,75.77,73.16,32.32,44.35,62.28,29.24,46.45,74.08,46.32,62.03,0.72,0.28,14.8,27.24,23.32,84.82,9.04,13.86,2.63,25.05,19.23,23.04,9.6,0.84,1.18,10.24,3.48,32.86,342.92,247.64,70.66,51.42,151.08,22.6,54.48,74,105.88,48.92,41.44,15.52,261.36,120.64,46.09,3.76,0.76,14.37,34,6.76,20.21,0.36,0.16,14,22.6,2.92,13.06,5.32,1.24,23.67,2.48,0.44,18,0.08,0.04,4,16.2,4.6,28.56,4.6,6.24,23.68,3.44,8.84,16.24,73.04,22.28,30.46,2.32,1.04,8.64,3.4,40.03,67.04,46.64,69.64,75.92,33.84,45.26,2.28,1.16,46.13,38.24,17.12,8.52,1.84,0.04,152.2,91.32,59.22,48.76,44.96,91.6,98.08,80.84,80.38,67.96,32.48,47.86,66.04,36.6,54.87,81.52,56.92,69.04,1.04,0.48,19.07,33.12,27.96,84.46,8.2,14.64,2.91,21.07,17.99,22.7,8.89,3.33
Boreham Wood,24/25,1.87,1.67,13.87,4.9,35.15,451.37,355.53,77.79,56.79,139.93,20.5,47.63,71.8,104.4,44.7,43,16.7,238.73,113.07,47.32,5.63,1.47,24.72,36.03,9.67,26.88,0.53,0.40,21.56,22.03,3.43,14.78,6.97,1.97,26.49,1.63,0.27,14.44,0.13,0.13,13.33,21.17,6.83,30.23,6.4,9.8,32.37,4.53,13.03,22.7,73.23,23.13,31.63,2.9,0.93,9.47,3.37,35.81,67.1,44.6,66.53,61.93,30.23,48.66,1.3,0.67,46.39,37.5,17.57,9.83,1.17,0.07,178.27,119.43,66.54,71.17,67,94.06,143.63,123.03,84.06,66.93,34.7,51.71,72.27,42.1,57.63,91.4,68.33,74.18,1.4,0.5,20.22,28.47,23.63,83.77,7.6,16.23,3.91,15.48,17.51,21.14,9.39,0.93,0.91,9.47,3.3,35.36,302.87,219.07,70.55,43.21,139.6,28.63,50.9,60.07,92.53,44.93,36.57,11.03,238.73,113.57,47.69,5.07,1.23,26.08,27.3,6.37,22.37,0.47,0.30,19.44,24.1,2.27,9.11,3.6,0.83,22.9,3.33,0.63,21.39,0.03,0,0,12.27,3.23,27.22,3.3,4.87,18.67,2.8,7.27,12.27,67.07,22.47,33.44,0.6,1.87,13.87,5.17,37.55,73.27,50.1,68.33,61.93,26.7,43.54,2.77,1.43,45.33,48.7,22.1,7.63,1.33,0.1,133.97,80.33,59.12,45.4,41.53,91.29,82.3,66.27,78.02,55.83,26.33,47.23,53.4,28.8,53.31,70.7,46.5,65.38,0.3,0.1,8.33,25.13,20.43,81.14,10.73,14.21,2.7,19.99,19.33,21.87,14.14,4.31
Chelmsford City,24/25,1.57,1.44,11.14,4,35.9,293.17,198.86,67.83,46.49,147,25.37,53.8,67.83,102.8,49.03,40.46,13.31,265.83,128.37,48.29,4.29,0.83,19.33,31.09,7.66,24.63,0.66,0.34,52.17,22.94,2.86,12.45,5.06,1.14,22.6,2.4,0.86,35.71,0.09,0.09,100,15.86,5,31.53,5.29,6.86,26.11,3.26,9.94,17.09,75.23,25.54,33.95,2.91,1.4,12.63,4.51,35.75,79.83,53.31,66.79,70.63,32.94,46.64,2.57,1.31,51.11,45.06,17,11.03,1.97,0.06,139.66,78.83,56.44,37.03,33.97,91.74,81.03,61.89,76.38,64.8,29.89,46.12,59.31,29.6,49.9,76.66,50.57,65.97,1.26,0.66,52.27,29.8,24.03,80.63,10.03,14.19,2.5,22.37,17.58,23.13,9.12,1.4,1.36,12.63,4.34,34.39,350.49,253.14,72.23,53.51,145.26,23.2,52.4,69.66,103.86,46.06,43.83,13.97,265.83,123.29,46.38,5.66,1.69,29.8,30.31,7.69,25.35,0.17,0.09,50,26.77,4.03,15.05,5.26,1.94,36.96,3.43,0.8,23.33,0.14,0.09,60,14.74,4.23,28.68,4.17,6.11,24.03,2.94,8.23,16.37,79.83,26.51,33.21,1.57,1.57,11.14,4.23,37.95,75.23,49.69,66.05,70.63,31.51,44.62,2.89,1.63,56.44,43.71,16.94,8.97,1.51,0.06,154.71,93.54,60.46,49,44.54,90.9,102.09,82.54,80.86,69.26,32.6,47.07,67.74,36.2,53.44,80.17,53.69,66.96,0.89,0.29,32.26,28.31,23.14,81.74,9.6,14.42,2.87,20.79,19.45,22.65,7.67,4.04
Chesham Utd,24/25,1.34,1.35,11.11,4.39,39.47,291.32,204.43,70.17,46.73,137.05,21.18,47.98,67.89,94.68,39.86,38.66,16.16,243.5,113.43,46.58,3.84,1.2,31.36,30.64,7.11,23.22,0.43,0.25,57.89,22.14,3.30,14.89,5.27,1.5,28.45,3.23,0.98,30.28,0.2,0.14,66.67,13.93,4.5,32.3,4.34,6.61,21.73,2.95,7.98,18.36,62.02,18.77,30.27,2.05,1.52,10.34,4.14,40,67.27,45.7,67.94,76.09,33.3,43.76,2.41,1.34,55.66,38.64,16.48,8.93,1.52,0.14,131.16,75.98,57.93,41.14,37.3,90.66,81.61,65.07,79.73,61.02,28.59,46.85,58.75,30.86,52.53,69.64,47.43,68.11,0.82,0.32,38.89,27.34,21.55,78.8,8.09,14.02,2.67,22,17.86,22.95,10.43,1.52,1.37,10.34,3.93,38.02,352.14,265.68,75.45,53.27,136.91,27.64,49.5,59.77,96.2,46.68,37.89,11.64,243.5,115.23,47.32,3.91,1.05,26.74,27.61,6.41,23.21,0.82,0.52,63.89,21.95,2.84,12.94,4.61,1.41,30.54,2.55,0.59,23.21,0.2,0.18,88.89,13.77,4.66,33.83,4.55,6.14,21.77,2.93,8.75,14.55,67.32,21.61,32.11,1.25,1.34,11.11,4.55,40.9,62.02,43.23,69.7,76.05,36.43,47.91,1.86,0.95,51.22,42.39,22.3,9.59,1.32,0.11,141.7,88.05,62.13,52.16,47.98,91.98,113.09,95.8,84.71,58.39,28,47.96,59.18,33.39,56.41,76.43,51.32,67.14,0.66,0.36,55.17,25.77,21.05,81.66,8.3,14.54,3.26,18.26,17.78,21.77,8.26,3.28
Chippenham Town,24/25,1,0.99,9.86,3.21,32.61,437.29,359.14,82.13,55.42,115.86,23.5,40.93,51.43,84.36,43.21,30.93,10.21,227.5,107.57,47.28,4.71,1.07,22.73,27.79,6.43,23.14,0.43,0.14,33.33,26.14,2.64,10.11,3.5,0.57,16.33,2.57,0.43,16.67,0.07,0.07,100,13.14,3.21,24.46,3.43,7.5,22.86,3.5,8.57,16,80.86,27.57,34.1,1.79,1.29,11.29,4,35.44,71.07,45.5,64.02,48.21,23.29,48.3,2.36,1.5,63.64,38.57,17.71,8,1.5,0.07,146.36,102.86,70.28,78,72.57,93.04,158.93,139.57,87.82,68.43,39.5,57.72,56.64,35.57,62.8,83.36,58.79,70.52,1.684,4.21,40,23.21,20.71,89.23,10.21,15.56,4.03,16.2,18.95,21.93,12.24,1.29,1.45,11.29,3.64,32.28,344.79,268.71,77.94,44.58,112.29,18.5,34.5,59.29,81.57,33.36,34.71,13.5,227.5,110.43,48.54,3.5,0.93,26.53,31.79,7.57,23.82,0.43,0.36,83.33,22.79,2.86,12.54,6.29,1.43,22.73,2.36,0.36,15.15,0.07,0.07,100,18.86,5.86,31.06,5.29,7.64,26.5,4.93,10.86,22.43,71.07,25.57,35.98,2.29,1,9.86,3.57,36.23,80.79,53.29,65.96,48.29,21.36,44.23,2.5,1.14,45.71,37.07,14.86,10.64,2,0.07,126.36,83.93,66.42,51.07,47,92.03,121.64,105,86.32,49.86,25.07,50.29,59.93,35.71,59.59,71.71,51.86,72.31,0.93,0.43,46.15,24,20,83.33,8.29,14.96,3.25,15.06,17.48,22.69,12.14,4.14
Dorking Wanderers,24/25,1.96,1.69,13.3,4.76,35.78,411.13,322.28,78.39,58.19,128.76,21.48,41.89,65.39,95.8,43.17,36.22,16.41,257.48,123.41,47.93,4.17,1.07,25.52,38.67,9.11,23.55,0.41,0.28,68.42,23.41,3.70,15.78,6.09,1.72,28.21,3.11,0.76,24.48,0.09,0.07,75,22,7.13,32.41,7,6.65,27.8,4.63,13.52,21.72,77.33,25.57,33.06,1.8,1.24,9.54,3.5,36.67,70.87,48.07,67.82,68.93,33.63,48.79,2.37,1.33,55.96,35.61,16.72,10.39,1.76,0.17,150.78,101.02,67,64.15,59.43,92.65,143.22,123.07,85.93,61.41,33.26,54.16,58.33,34.72,59.52,78.24,55.15,70.49,0.76,0.33,42.86,29.72,25.7,86.47,7.76,15.11,3.57,15.69,16.58,21.67,8.1,1.24,0.96,9.54,3.43,35.99,269.46,191.09,70.92,41.81,131.7,29.65,43.59,58.46,87.85,44.61,31.3,11.93,257.48,118.26,45.93,4.67,1.24,26.51,25.57,6.24,24.4,0.52,0.24,45.83,23.98,2.37,9.88,4.15,1,24.08,2.83,0.52,18.46,0.11,0.07,60,10.52,3.39,32.23,3.63,5.22,19.7,3.02,6.59,12,70.83,22.76,32.14,1.28,1.96,13.3,5,37.58,77.37,51.76,66.9,68.93,28.89,41.91,2.63,1.41,53.72,45.3,23.93,9.26,1.52,0.13,121.2,71.09,58.65,40.28,36.33,90.18,73.28,59.04,80.57,57.07,27.02,47.35,50.46,26.15,51.83,67,43.39,64.76,0.54,0.28,52,25.65,21.17,82.54,9.7,13.87,2.44,22.11,19.97,22.67,13.32,2.62
Eastbourne Borough,24/25,1.4,1.4,10.43,3.96,37.96,311.53,227.49,73.02,51.95,128.34,24.13,41.7,62.51,94.64,44.04,37.02,13.57,247.11,114.11,46.18,4.15,1.02,24.62,28.79,6.32,21.95,0.81,0.45,55.26,23.19,3.06,13.21,5.45,1.4,25.78,3.32,0.62,18.59,0.13,0.09,66.67,16.28,4.85,29.8,5.04,4.74,22.66,3.19,9.74,15.09,65.15,22.45,34.45,2,1,10.66,3.77,35.33,67.3,43.36,64.43,68.57,30.87,45.02,2.87,1.68,58.52,39.4,20.26,12.43,2.17,0.19,129.11,78.11,60.5,41.64,37.85,90.9,101.79,83.74,82.27,63.6,31.66,49.78,57.38,30.3,52.8,70.09,47.34,67.55,0.72,0.3,41.18,25.91,20.72,79.97,7.74,13.56,2.8,21.41,17.87,23.25,8.12,1,1.19,10.66,3.53,33.13,292.94,209.94,71.67,48.05,133,25.19,46.89,60.91,92.94,44.72,34.21,14,247.11,116.57,47.18,4.62,1.09,23.5,28.11,6.28,22.33,0.6,0.23,39.29,26.02,3.57,13.74,4.81,1.77,36.73,3.57,0.79,22.02,0.11,0.11,100,13.6,4.23,31.14,4.23,5.15,20.57,3.4,7.47,15.21,67.3,23.91,35.54,1.85,1.4,10.43,4.17,40,65.15,42.7,65.55,68.57,31.62,46.11,2.4,1.34,55.75,41.79,19.66,9.89,1.74,0.11,128.28,76.77,59.84,41.89,38.36,91.57,83.26,66.83,80.27,59.66,27.47,46.04,52.55,26.89,51.17,67.09,43.15,64.32,0.87,0.36,41.46,28.21,22.96,81.37,9,13.75,2.56,21.65,18.66,22.71,10.92,4.37
Enfield Town,24/25,1.03,1.11,10.09,3.45,34.23,305.24,216.42,70.9,44.97,140.18,26.88,48.88,64.42,94.79,47.85,35.58,11.36,249.12,117.12,47.01,4.91,1.42,29.01,28.64,7.03,24.55,0.27,0.15,55.56,23.36,2.36,10.12,3.97,1.03,25.95,2.58,0.52,20,0.15,0.15,100,15.82,4.79,30.27,5.09,3.91,20.79,1.73,10.24,11.88,65.12,21.58,33.13,1.82,1.94,13.7,5.82,42.48,75.15,49.33,65.65,73.21,31.97,43.67,2.61,1.61,61.63,42,22.3,8.97,1.42,0.09,135.36,78.55,58.03,43.36,40.21,92.73,86.21,68.58,79.54,62.58,27.7,44.26,56.12,27.42,48.87,71.55,46.36,64.8,0.42,0.12,28.57,27.06,22.03,81.41,10.03,14.63,2.64,21.56,19.46,23.08,12.75,1.94,1.71,13.7,5.55,40.49,384.58,292.94,76.17,55.03,137.73,22.39,45.03,70.3,98.18,44.36,39.55,14.27,249.12,118.58,47.6,5.64,1.76,31.18,35.82,9.27,25.89,0.64,0.30,47.62,22.15,3.36,15.18,5,1.45,29.09,3.09,0.73,23.53,0.21,0.18,85.71,17.33,5.88,33.92,6.09,8.36,27.7,3.88,10.45,18.67,75.12,25.79,34.33,2.52,1.03,10.09,3.67,36.34,65.15,43.55,66.84,73.21,35.06,47.89,2.82,1.7,60.22,38.94,18.06,9,1.18,0.06,159.12,101.73,63.93,55.42,51.97,93.77,121.18,101.88,84.07,66.73,33.03,49.5,69.33,39.55,57.04,84.39,60.42,71.6,1.33,0.52,38.64,28.45,23.94,84.13,7.76,14.83,3.31,19.05,18.2,22.75,9.47,2.99
Farnborough,24/25,1.4,1.5,13.77,4.63,33.66,300.9,222.3,73.88,50.03,127.93,20.97,42.83,64.13,90.63,40.8,36.3,13.53,250.43,118.73,47.41,6.4,1.63,25.52,33.13,8.33,25.15,0.57,0.37,64.71,22.5,4.13,18.37,5.57,1.8,32.34,2.03,0.57,27.87,0.17,0.1,60,12.97,3.1,23.91,3.37,6.7,23.2,5.17,6.37,19.37,78.7,28.17,35.79,2.17,1.5,10.73,4.17,38.82,68.6,47.37,69.05,67.57,28.43,42.08,3.23,1.9,58.76,35.8,15.8,9.77,1.67,0.03,130.6,84.23,64.5,42.77,38.83,90.8,86.47,70.43,81.46,50.3,23.4,46.52,57.67,33.93,58.84,67.83,48.1,70.91,1.53,0.5,32.61,26.6,20.67,77.69,7.6,13.85,2.71,17.46,18.9,22.42,9.03,1.5,1.22,10.73,3.97,36.96,307.17,228.1,74.26,49.97,128.4,24.27,47.27,56.87,86.33,42.7,32.83,10.8,250.43,117.9,47.08,4.53,1.33,29.41,27.07,6.7,24.75,1.03,0.63,61.29,24.7,3.00,12.15,4.43,1.17,26.32,2.83,0.9,31.76,0.03,0.03,100,11.93,3.97,33.24,3.77,4.6,19.6,2.6,7.3,13,68.6,21.23,30.95,1.9,1.4,13.77,4.83,35.11,78.7,50.53,64.21,67.57,32.63,48.3,3.3,1.93,58.59,38.1,18.27,9.8,1.53,0.1,129.5,79.27,61.21,47.07,43.33,92.07,91.3,76.13,83.39,58.17,28.1,48.31,53.1,29.37,55.3,72.1,48.57,67.36,1.4,0.67,47.62,26.13,22.3,85.33,10.97,14,2.84,20.47,18.24,22.91,9.06,3.31
